tag,fast_period,slow_period,target_vol,vol_lookback,max_leverage,commission_perc,slippage_multiplier,min_volume_pct_avg,min_holding_period,max_spread_pct,Sharpe,Sortino,MaxDrawdown,AnnualizedReturn,Calmar
execution_slipmult_0.25,10,20,0.1,20,2.0,0.0,0.25,0.3,1,,-0.1883768977096501,-0.28186999724263384,-0.022489501535971766,-0.0027140364515986816,-0.1206801514590087
execution_slipmult_0.5,10,20,0.1,20,2.0,0.0,0.5,0.3,1,,-0.38435667429344883,-0.5784303327485977,-0.023339288335170832,-0.005547027474998332,-0.23766909236213996
execution_slipmult_1.0,10,20,0.1,20,2.0,0.0,1.0,0.3,1,,-0.6337751162503817,-0.9626114225549628,-0.024166498754695537,-0.009200787446366623,-0.38072488446754893
risk_tv_0.08_lb_20,10,20,0.08,20,2.0,0.0,0.25,0.3,1,,0.011586465733989713,0.01774714181728153,-0.015574296198177054,0.00013337711174185368,0.008563925460558869
risk_tv_0.1_lb_20,10,20,0.1,20,2.0,0.0,0.25,0.3,1,,-0.1883768977096501,-0.28186999724263384,-0.022489501535971766,-0.0027140364515986816,-0.1206801514590087
risk_tv_0.12_lb_20,10,20,0.12,20,2.0,0.0,0.25,0.3,1,,-0.24598363431353587,-0.36118496657799226,-0.029105096157169556,-0.004442014037175189,-0.1526198028409871
risk_tv_0.1_lb_10,10,20,0.1,10,2.0,0.0,0.25,0.3,1,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
risk_tv_0.1_lb_40,10,20,0.1,40,2.0,0.0,0.25,0.3,1,,0.09784791773330555,0.1393028484311293,-0.02351632897252692,0.001412151922275513,0.06004984553181184
micro_vol_0.2_hold_1,10,20,0.1,10,2.0,0.0,0.25,0.2,1,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
micro_vol_0.2_hold_3,10,20,0.1,10,2.0,0.0,0.25,0.2,3,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
micro_vol_0.3_hold_1,10,20,0.1,10,2.0,0.0,0.25,0.3,1,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
micro_vol_0.3_hold_3,10,20,0.1,10,2.0,0.0,0.25,0.3,3,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
micro_vol_0.5_hold_1,10,20,0.1,10,2.0,0.0,0.25,0.5,1,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
micro_vol_0.5_hold_3,10,20,0.1,10,2.0,0.0,0.25,0.5,3,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
sma_8_21,8,21,0.1,10,2.0,0.0,0.25,0.2,1,,0.9310802298578742,1.4985210508971065,-0.023354477468615294,0.015091284721910535,0.6461837881918284
sma_10_20,10,20,0.1,10,2.0,0.0,0.25,0.2,1,,0.3324105986038987,0.5370587754578001,-0.02326420046851223,0.00551156874087896,0.23691202061032748
sma_10_30,10,30,0.1,10,2.0,0.0,0.25,0.2,1,,0.7516926442578872,1.2629562746672025,-0.01241413343325676,0.013311606782487783,1.0722944822573555
sma_15_40,15,40,0.1,10,2.0,0.0,0.25,0.2,1,,0.5355442209481971,0.8358388360043016,-0.018747318966159932,0.011838279242912808,0.6314651851969678
sma_20_50,20,50,0.1,10,2.0,0.0,0.25,0.2,1,,0.9671225689637091,1.5440572381811515,-0.016966011013010717,0.01935702405348204,1.1409295938000823
